source,target,country,meaning,source_word
He recycled an empty soda can.,He recycled an empty soda tin.,British,metal container filled with food and sealed to preserve it.,can
Elementary education begins at age five.,Primary education begins at age five.,British,given to pupils between the ages of 5 and 11.,elementary education
She teaches elementary education in a local school.,She teaches primary education in a local school.,British,given to pupils between the ages of 5 and 11.,elementary education
They focus on basic skills in elementary education.,They focus on basic skills in primary education.,British,given to pupils between the ages of 5 and 11.,elementary education
The program will start next week.,The programme will start next week.,British,a series of actions or events that are planned to be done.,program
He developed a training program for new employees.,He developed a training programme for new employees.,British,a series of actions or events that are planned to be done.,program
The TV program airs at 8 p.m.,The TV programme airs at 8 p.m.,British,a series of actions or events that are planned to be done.,program
I bought ground beef to make tacos.,I bought mince to make tacos.,British,meat which has been cut into very small pieces using a machine.,ground beef
She prefers using hamburger meat in her recipes.,She prefers using mince in her recipes.,British,meat which has been cut into very small pieces using a machine.,hamburger meat
The store sells fresh ground beef daily.,The store sells fresh mince daily.,British,meat which has been cut into very small pieces using a machine.,ground beef
The construction team is leveling the ground.,The construction team is levelling the ground.,British,"a point on a scale, for example a scale of amount, quality, or difficulty.",leveling
They leveled the ground before building the house.,They levelled the ground before building the house.,British,"a point on a scale, for example a scale of amount, quality, or difficulty.",leveled
The technician is leveling the machine.,The technician is levelling the machine.,British,"a point on a scale, for example a scale of amount, quality, or difficulty.",leveling
They bought orchestra seats for the concert.,They bought stall seats for the concert.,British,seats on the ground floor directly in front of the stage.,orchestra
The orchestra section was fully booked.,The stall section was fully booked.,British,seats on the ground floor directly in front of the stage.,orchestra
She prefers orchestra seats close to the stage.,She prefers stall seats close to the stage.,British,seats on the ground floor directly in front of the stage.,orchestra
Please signal before turning left.,Please indicate before turning left.,British,"When drivers indicate, they make lights flash to show they are going to turn.",signal
He forgot to signal at the intersection.,He forgot to indicate at the intersection.,British,"When drivers indicate, they make lights flash to show they are going to turn.",signal
